repeticion,version,n,ancho,alto,hilos,cuadros,total_s,simulacion_s,dibujo_s
1,paralelo,1000,640,480,8,300,28.877657,0.582437,28.292917
2,paralelo,1000,640,480,8,300,27.407972,0.688065,26.718054
3,paralelo,1000,640,480,8,300,27.402064,0.639063,26.761191
4,paralelo,1000,640,480,8,300,27.366659,0.630115,26.734752
5,paralelo,1000,640,480,8,300,27.286055,0.622756,26.661596
6,paralelo,1000,640,480,8,300,27.071364,0.619398,26.450236
7,paralelo,1000,640,480,8,300,27.205191,0.639975,26.563501
8,paralelo,1000,640,480,8,300,27.429195,0.659180,26.768202
9,paralelo,1000,640,480,8,300,27.326322,0.613196,26.711357
10,paralelo,1000,640,480,8,300,28.463752,0.686940,27.774967
