repeticion,version,n,ancho,alto,hilos,cuadros,total_s,simulacion_s,dibujo_s
1,secuencial,1000,640,480,1,300,27.445398,0.605226,26.838530
2,secuencial,1000,640,480,1,300,27.232582,0.608455,26.622544
3,secuencial,1000,640,480,1,300,27.279368,0.607206,26.670529
4,secuencial,1000,640,480,1,300,35.636555,0.751446,34.882969
5,secuencial,1000,640,480,1,300,44.669849,0.993307,43.674094
6,secuencial,1000,640,480,1,300,44.730530,0.968797,43.759451
7,secuencial,1000,640,480,1,300,45.872782,0.998035,44.872102
8,secuencial,1000,640,480,1,300,44.995024,0.992211,44.000479
9,secuencial,1000,640,480,1,300,44.722967,0.967729,43.753102
10,secuencial,1000,640,480,1,300,45.449763,0.996876,44.450506
