repeticion,version,n,ancho,alto,hilos,cuadros,total_s,simulacion_s,dibujo_s
1,paralelo,3000,640,480,8,30,13.258293,0.183307,13.074703
2,paralelo,3000,640,480,8,30,12.551727,0.184678,12.366702
3,paralelo,3000,640,480,8,30,12.138660,0.171045,11.967318
4,paralelo,3000,640,480,8,30,13.185255,0.187715,12.997221
5,paralelo,3000,640,480,8,30,12.741723,0.188470,12.552929
6,paralelo,3000,640,480,8,30,12.618697,0.186998,12.431398
7,paralelo,3000,640,480,8,30,12.960599,0.185231,12.775040
8,paralelo,3000,640,480,8,30,12.217479,0.181109,12.036062
9,paralelo,3000,640,480,8,30,12.366395,0.169564,12.196517
10,paralelo,3000,640,480,8,30,11.990571,0.173113,11.817192
